CCN,CODCNH,Nombre Centro,Dirección,Teléfono,Cód. Municipio,Municipio,Cód. Provincia,Provincia,Cód. CCAA,CCAA,Código Postal,CAMAS,Cód. Clase de Centro,Clase de Centro,Cód. Dep. Funcional,Dependencia Funcional,Forma parte Complejo,CODIDCOM,Nombre del Complejo,ALTA,Email,lat,lon
1531000730,310121,Hospital García Orcoyen,Calle Santa Soria 22 -,848435000,310977,Estella-Lizarra,31,Navarra,15,C. Foral de Navarra,31200,108,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,gerencia.areasalud.estella@navarra.es,42.6825266,-2.0405139
1531000738,310076,Clínica Arcángel San Miguel - Pamplona,Calle Beloso Alto 32 -,948296000,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31006,72,C11,Hospitales Generales,20,Privados,N,,,N,clinicasanmiguel@clinicasanmiguel.es,42.8189471,-1.6201613
1531000736,310057,Clínica Psiquiátrica Padre Menni,Calle Joaquín Beunza 45 -,948140611,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31014,217,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,,,N,gerencia.mennipamplona@hospitalarias.es,42.825292,-1.6547406
1531000733,310060,Clínica Universidad de Navarra,Avenida Pio Si 36 -,948255400,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31008,230,C11,Hospitales Generales,20,Privados,N,,,N,direccioncun@unav.es,42.8054501,-1.6635271
1531000737,310044,Hospital San Juan de Dios,Calle Beloso Alto 3 -,948231800,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31006,288,C11,Hospitales Generales,20,Privados,N,,,N,hospitalpamplona@sjd.es,42.8167308,-1.623552
1531000739,310039,Centro San Francisco Javier,Avenida Villava 53 -,948422730,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31015,84,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,unidad.media.estancia@navarra.es,42.8315787,-1.6288393
1531002230,310150,Hospital Universitario de Navarra,Calle Irunlarrea 3 -,848422222,312016,Pamplona/Iruña,31,Navarra,15,C. Foral de Navarra,31008,1077,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,gerchna@navarra.es,42.8048096,-1.6652726
1531000729,310137,Hospital Reina Sofía,Carretera Tarazona KM. 3 -,848434000,312325,Tudela,31,Navarra,15,C. Foral de Navarra,31500,190,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,hrst@navarra.es,42.0430857,-1.6207226
1232000112,320126,Hospital Publico de Valdeorras,Avenida Conde de Fenosa 50,988339000,320090,"Barco de Valdeorras, O",32,Ourense,12,Galicia,32300,100,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,42.4175617,-6.9909385
1232000115,320163,Clinica Santa Teresa,Calle Saenz Diez 11,988371710,320548,Ourense,32,Ourense,12,Galicia,32003,49,C11,Hospitales Generales,20,Privados,N,,,N,correo@cosaga.com,42.34413,-7.864375
1232000114,320087,Centro Medico El Carmen,Avenida Habana (De La) 50,988223400,320548,Ourense,32,Ourense,12,Galicia,32003,43,C11,Hospitales Generales,20,Privados,N,,,N,info@centromedicoelcarmen.es,42.3423154,-7.8628864
1232000111,320013,Complexo Hospitalario Universitario de Ourense,Calle Ramon Puga 52,988385500,320548,Ourense,32,Ourense,12,Galicia,32005,859,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,42.3270169,-7.8588447
1012000256,120148,Instituto de Traumatología de Unión de Mutuas (Matepss Nº 267),Avenida Virgén de Lidon 67,964231212,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,28,C12,Hospitales especializados,21,Mútuas Colaboradoras con La Seguridad Social,N,,,N,amarti@uniondemutuas.es,39.9930606,-0.0279502
1012000255,120159,Hospital Rey D. Jaime,Calle Maria Rosa Molas 25,964726000,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,96,C11,Hospitales Generales,20,Privados,N,,,N,reydjaime@hospitales.nisa.es,39.9972056,-0.0365239
