Comunidad autónoma	Masa corporal	Periodo	Total
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2023	1,7
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2022	2,3
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2020	2,1
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2017	2,2
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2014	2,2
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2012	2,2
Total Nacional	Peso insuficiente (IMC < 18,5 kg/m2)	2009	2,1
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2023	43,3
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2022	49,3
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2020	44,3
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2017	43,3
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2014	45,2
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2012	44,2
Total Nacional	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2009	44,3
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2023	39,8
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2022	34,3
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2020	37,6
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2017	37,1
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2014	35,7
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2012	36,7
Total Nacional	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2009	37,7
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2023	15,2
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2022	14,1
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2020	16
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2017	17,4
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2014	16,9
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2012	17
Total Nacional	Obesidad (IMC >= 30 kg/m2)	2009	16
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2023	1,3
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2022	1,8
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2020	2,1
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2017	2,3
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2014	1,4
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2012	1,9
01 Andalucía	Peso insuficiente (IMC < 18,5 kg/m2)	2009	1,5
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2023	38,2
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2022	46,6
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2020	39,7
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2017	39,2
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2014	41,5
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2012	40,7
01 Andalucía	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2009	38,9
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2023	43,8
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2022	35,6
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2020	38,6
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2017	37,5
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2014	37,1
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2012	36,2
01 Andalucía	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2009	39,9
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2023	16,7
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2022	16,1
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2020	19,7
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2017	21
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2014	19,9
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2012	21,2
01 Andalucía	Obesidad (IMC >= 30 kg/m2)	2009	19,6
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2023	2,2
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2022	2
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2020	2
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2017	2,4
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2014	1,6
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2012	2,7
02 Aragón	Peso insuficiente (IMC < 18,5 kg/m2)	2009	2,2
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2023	43,9
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2022	48,9
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2020	48,2
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2017	45,1
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2014	43,7
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2012	45,9
02 Aragón	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2009	44,3
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2023	36,1
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2022	35,3
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2020	34,1
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2017	36,8
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2014	38,2
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2012	35,8
02 Aragón	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2009	37,9
02 Aragón	Obesidad (IMC >= 30 kg/m2)	2023	17,9
02 Aragón	Obesidad (IMC >= 30 kg/m2)	2022	13,8
02 Aragón	Obesidad (IMC >= 30 kg/m2)	2020	15,8
02 Aragón	Obesidad (IMC >= 30 kg/m2)	2017	15,7
02 Aragón	Obesidad (IMC >= 30 kg/m2)	2014	16,6
